customer_id,first_name,last_name,email,phone,registration_date,state,age_group,loyalty_status,lifetime_value
1,First_0,Last_0,customer_0@email.com,555-7031,2021-03-29,CA,65+,Silver,7341.45
2,First_1,Last_1,customer_1@email.com,555-9890,2021-11-27,NY,26-35,Silver,1577.76
3,First_2,Last_2,customer_2@email.com,555-4329,2022-06-13,IL,36-45,Bronze,5184.35
4,First_3,Last_3,customer_3@email.com,555-2152,2023-06-05,NC,18-25,Gold,1817.75
5,First_4,Last_4,customer_4@email.com,555-7637,2023-07-31,FL,36-45,Platinum,6913.48
6,First_5,Last_5,customer_5@email.com,555-9896,2021-01-26,TX,26-35,Gold,1675.37
7,First_6,Last_6,customer_6@email.com,555-5481,2020-10-13,GA,65+,Silver,1202.72
8,First_7,Last_7,customer_7@email.com,555-6650,2023-03-20,OH,36-45,Silver,8794.54
9,First_8,Last_8,customer_8@email.com,555-5966,2021-03-23,FL,36-45,Platinum,2429.2
10,First_9,Last_9,customer_9@email.com,555-2398,2022-07-02,CA,26-35,Gold,8731.43
11,First_10,Last_10,customer_10@email.com,555-9674,2020-04-18,IL,18-25,Gold,7735.21
12,First_11,Last_11,customer_11@email.com,555-9709,2020-05-21,NC,46-55,Gold,7401.46
13,First_12,Last_12,customer_12@email.com,555-1647,2022-02-10,IL,56-65,Silver,8840.45
14,First_13,Last_13,customer_13@email.com,555-4033,2022-12-25,PA,46-55,Silver,9769.26
15,First_14,Last_14,customer_14@email.com,555-3153,2021-02-02,IL,36-45,Platinum,3540.71
16,First_15,Last_15,customer_15@email.com,555-5872,2023-03-05,NC,36-45,Gold,6480.65
17,First_16,Last_16,customer_16@email.com,555-5647,2020-11-23,NY,46-55,Bronze,9244.69
18,First_17,Last_17,customer_17@email.com,555-3395,2022-04-03,NC,65+,Silver,5079.56
19,First_18,Last_18,customer_18@email.com,555-5977,2020-12-17,MI,65+,Bronze,3934.55
20,First_19,Last_19,customer_19@email.com,555-7496,2022-12-06,FL,26-35,Platinum,3966.86
21,First_20,Last_20,customer_20@email.com,555-1407,2023-12-01,NC,36-45,Platinum,6760.38
22,First_21,Last_21,customer_21@email.com,555-4639,2023-03-14,NY,36-45,Platinum,5433.85
23,First_22,Last_22,customer_22@email.com,555-2316,2022-07-29,OH,26-35,Platinum,9727.62
24,First_23,Last_23,customer_23@email.com,555-9191,2021-05-02,OH,36-45,Bronze,8693.97
25,First_24,Last_24,customer_24@email.com,555-4374,2020-04-20,FL,18-25,Gold,9074.84
26,First_25,Last_25,customer_25@email.com,555-1150,2021-11-20,CA,18-25,Silver,6382.92
27,First_26,Last_26,customer_26@email.com,555-3901,2023-07-31,TX,26-35,Platinum,3148.02
28,First_27,Last_27,customer_27@email.com,555-5865,2023-12-01,FL,46-55,Gold,7839.71
29,First_28,Last_28,customer_28@email.com,555-3161,2022-08-16,NY,56-65,Gold,6506.14
30,First_29,Last_29,customer_29@email.com,555-3987,2022-01-30,GA,36-45,Platinum,1340.55
31,First_30,Last_30,customer_30@email.com,555-8827,2021-06-06,PA,18-25,Bronze,7021.65
32,First_31,Last_31,customer_31@email.com,555-6786,2020-02-17,PA,18-25,Silver,6329.09
33,First_32,Last_32,customer_32@email.com,555-3304,2022-12-31,PA,46-55,Platinum,1920.92
34,First_33,Last_33,customer_33@email.com,555-6113,2023-03-01,PA,18-25,Gold,1328.8
35,First_34,Last_34,customer_34@email.com,555-9903,2020-12-15,IL,46-55,Platinum,3631.25
36,First_35,Last_35,customer_35@email.com,555-1190,2023-06-28,PA,26-35,Bronze,820.21
37,First_36,Last_36,customer_36@email.com,555-7961,2020-03-28,FL,65+,Bronze,1048.17
38,First_37,Last_37,customer_37@email.com,555-5786,2020-01-06,CA,65+,Gold,3232.23
39,First_38,Last_38,customer_38@email.com,555-1426,2021-04-25,GA,18-25,Bronze,6232.18
40,First_39,Last_39,customer_39@email.com,555-1760,2021-05-18,OH,26-35,Bronze,560.2
41,First_40,Last_40,customer_40@email.com,555-4953,2023-10-26,CA,36-45,Silver,7453.25
42,First_41,Last_41,customer_41@email.com,555-7455,2021-08-02,PA,56-65,Gold,5204.29
43,First_42,Last_42,customer_42@email.com,555-5008,2023-03-18,CA,56-65,Silver,575.02
